"amount_lamport","amount_usd","is_sell","user","timestamp_unix","tx_hash","log_index","pool","fees","fees_usd","quote_mint","base_mint","quote_amount","base_amount"
4278284659,644.78,0,"4bXSWbPdtqAWbx1UXs5jWmFZBQcSErGEQRFuaHyTiqZF",1749320464,"39CKyEQVxeLUqv51NmP1eET82KG8Yg9nJ6cEirWVa24kuypUoWMaRvjtwDWWPtSe7sHP76coUgthd8LJBmcF4W4L",90,"DtucGTQjbP6U34HV69AMYLVnRxayNRqpZGcRPiN1iPJ",30672079312,4622.59,"2r2KshGD462QibKJYrZRLo7hFQtxzRNp3rMHR9dEEiTh","So11111111111111111111111111111111111111112",12268831724476,4278284659
7422733199,1118.68,1,"6zuM45axtAWKZWWTZiENTppg6KxUwYoazeniVmE3cvp5",1749320462,"39sxrB7r1XzUc8eDH5YnGTGn3t46EyygC32upuT3kfThreSz5oNfuVjZd38Z3Z3uomhp6fq41wUpW4RWEiou4CYy",45,"2nzumpN1yN7FrfSA4pZsUNED9asJR1STGday9TK7WwZS",16093457528,2425.44,"3sqYsZJVCFv6GBP7itpgUnEsLPvwdA5h6H7HsYADPYsD","So11111111111111111111111111111111111111112",6437383010602,7422733199
7393349756,1114.25,0,"DS7LUQe4ugXpqdus8jb91UAUjywHEbb51dHQ771wqZNu",1749320462,"39sxrB7r1XzUc8eDH5YnGTGn3t46EyygC32upuT3kfThreSz5oNfuVjZd38Z3Z3uomhp6fq41wUpW4RWEiou4CYy",90,"2nzumpN1yN7FrfSA4pZsUNED9asJR1STGday9TK7WwZS",16029320444,2415.78,"3sqYsZJVCFv6GBP7itpgUnEsLPvwdA5h6H7HsYADPYsD","So11111111111111111111111111111111111111112",6411728177462,7393349756
7047337769,1062.1,1,"EnCCBfC6emcvm8aFySHzyranJcPTqzvjQXjWa6mN2qrk",1749320460,"3ADPZ9G8mKQraXGjqNQ6S9jhNCD3Tr6q9UV9ba4NFZxv27C9RH6oGKPzMbAoJjwv6j8Qaey2SqBgAEGvJD9MXN3n",45,"2nzumpN1yN7FrfSA4pZsUNED9asJR1STGday9TK7WwZS",15573271065,2347.05,"3sqYsZJVCFv6GBP7itpgUnEsLPvwdA5h6H7HsYADPYsD","So11111111111111111111111111111111111111112",6229308425718,7047337769
7247994012,1092.35,0,"3DkYCYgFTuKwBL7cK5VDFMjT9JKc2ZTDmyuQXQQts6BU",1749320460,"3ADPZ9G8mKQraXGjqNQ6S9jhNCD3Tr6q9UV9ba4NFZxv27C9RH6oGKPzMbAoJjwv6j8Qaey2SqBgAEGvJD9MXN3n",90,"2nzumpN1yN7FrfSA4pZsUNED9asJR1STGday9TK7WwZS",16023091980,2414.84,"3sqYsZJVCFv6GBP7itpgUnEsLPvwdA5h6H7HsYADPYsD","So11111111111111111111111111111111111111112",6409236791721,7247994012
1931576863,291.11,0,"75hFaD8hzv1GxTguofb4LVBTPyFRoh2mMKXr2A4gRrSa",1749320461,"3AGtBku47EyMHGrSLFhUhKjEEFPiqnAfC1ReqLoQFuoH7U6C3aiJZkZuDmbsDL8ouEzfBVRKTEyVAmTZRvjuvX8x",39,"8rTnsruneAmBLzc9WvDRrG477Tzr5gbpTE8Fm4n7FpYn",5794732,0.87,"So11111111111111111111111111111111111111112","Cy7iVaPkPyjHF3qe1qNNGvRtMMSSf5Vxbbi9ArLjpump",1931576863,477155000000
478025967,72.04,1,"DrBmWJQZZhyhG7AuBLuX4bazUPz6D1meCKeFnv3FZ6Gq",1749320461,"3Abx3HgBAsMg9uWQBeXFbamngyVNrAN8ebX89xXauE9Jh3u6z9Kk5oKZhuKoTqfwUhoNVjFCgiVUCqRqs5cMEUPQ",41,"CYZChncfiEUydDbxgQFPkV6UELu53ft4wCs5sbPdA7A",1434078,0.22,"So11111111111111111111111111111111111111112","HWkTm16zu7xnZhiPwLhuVM2gjf6t4ve8vDpZbDQ4pump",478025967,377339877509
81195574,12.24,1,"ETFJC4QQ5GUtgHuRdRiHx8epK5S2Nump6X5BL4PZqTE2",1749320464,"3ApgJu363gKuUFMeNNbFLwxAaNtDGZsBrZzSH88h6JizDrmun7J5bXGkzFtoZ8ZC9SmBeB5JT8B9q5ACSPSrCwEQ",45,"8rAQvSZ3APy63bYrDydcK2M1qpNsm7KqcQyd1A4QUY64",143622908,21.65,"2hPBMjEGzwdPPgiTNdyMNaXTFfj1Z5ejPU5TqVnTLRxj","So11111111111111111111111111111111111111112",57449162646,81195574
39597533,5.97,0,"3UtGpNJi2LxwHGSKMJ9Yo9rfThU1AjtXi57PXBkSd61e",1749320464,"3ApgJu363gKuUFMeNNbFLwxAaNtDGZsBrZzSH88h6JizDrmun7J5bXGkzFtoZ8ZC9SmBeB5JT8B9q5ACSPSrCwEQ",90,"8rAQvSZ3APy63bYrDydcK2M1qpNsm7KqcQyd1A4QUY64",70036188,10.56,"2hPBMjEGzwdPPgiTNdyMNaXTFfj1Z5ejPU5TqVnTLRxj","So11111111111111111111111111111111111111112",28014474627,39597533
398611666,60.07,0,"FXDPmKKi59Pa1SL5wTLqtye49ir3t1xTu3md8RcgdYm6",1749320461,"3AtP4gPzgwybkaXndKiX8iFNpTpLqREesfqkjZgueVZgYUn9tkLWG9vH6msdUaEtx6oa3kAJGurQQALvEayMfpir",28,"7bCauvcdNHTkCKsSmyyaoenkV6ixmG5bD6T8uqTTUW65",1195836,0.18,"So11111111111111111111111111111111111111112","3E8muKzsn84HUUmDWdjjd6geRjv5XUpMjdpbrqi3pump",398611666,1431552030
